"region","age","gender","population"
"SSC20858",43,"F",84
"SSC20858",44,"M",56
"SSC20858",44,"F",85
"SSC20858",45,"M",78
"SSC20858",45,"F",100
"SSC20858",46,"M",73
"SSC20858",46,"F",93
"SSC20858",47,"M",68
"SSC20858",47,"F",76
"SSC20858",48,"M",69
"SSC20858",48,"F",82
"SSC20858",49,"M",63
"SSC20858",49,"F",65
"SSC20858",50,"M",67
"SSC20858",50,"F",72
"SSC20858",51,"M",68
"SSC20858",51,"F",78
"SSC20858",52,"M",72
"SSC20858",52,"F",51
"SSC20858",53,"M",50
"SSC20858",53,"F",62
"SSC20858",54,"M",63
"SSC20858",54,"F",60
"SSC20858",55,"M",55
"SSC20858",55,"F",73
"SSC20503",0,"M",0
"SSC20503",0,"F",0
"SSC20503",1,"M",0
"SSC20503",1,"F",0
"SSC20503",2,"M",0
"SSC20503",2,"F",0
"SSC20503",3,"M",0
"SSC20503",3,"F",0
"SSC20503",4,"M",0
"SSC20503",4,"F",0
"SSC20503",5,"M",0
"SSC20503",5,"F",0
"SSC20503",6,"M",0
"SSC20503",6,"F",0
"SSC20503",7,"M",0
"SSC20503",7,"F",0
"SSC20503",8,"M",0
"SSC20503",8,"F",0
"SSC20503",9,"M",0
"SSC20503",9,"F",0
"SSC20503",10,"M",0
"SSC20503",10,"F",0
"SSC20503",11,"M",0
"SSC20503",11,"F",3
"SSC20503",12,"M",0
"SSC20503",12,"F",0
"SSC20503",13,"M",0
"SSC20503",13,"F",0
"SSC20503",14,"M",0
"SSC20503",14,"F",0
"SSC20503",15,"M",0
"SSC20503",15,"F",0
"SSC20503",16,"M",0
"SSC20503",16,"F",0
"SSC20503",17,"M",0
"SSC20503",17,"F",0
"SSC20503",18,"M",0
"SSC20503",18,"F",0
"SSC20503",19,"M",0
"SSC20503",19,"F",0
"SSC20503",20,"M",0
"SSC20503",20,"F",0
"SSC20503",21,"M",0
"SSC20503",21,"F",0
"SSC20503",22,"M",0
"SSC20503",22,"F",0
"SSC20503",23,"M",0
"SSC20503",23,"F",0
"SSC20503",24,"M",0
"SSC20503",24,"F",0
"SSC20503",25,"M",0
"SSC20503",25,"F",0
"SSC20503",26,"M",0
"SSC20503",26,"F",0
"SSC20503",27,"M",0
"SSC20503",27,"F",0
"SSC20503",28,"M",0
"SSC20503",28,"F",0
"SSC20503",29,"M",0
"SSC20503",29,"F",0
"SSC20503",30,"M",0
"SSC20503",30,"F",0
"SSC20503",31,"M",0
"SSC20503",31,"F",0
"SSC20503",32,"M",0
"SSC20503",32,"F",0
"SSC20503",33,"M",0
"SSC20503",33,"F",0
"SSC20503",34,"M",0
"SSC20503",34,"F",0
"SSC20503",35,"M",0
"SSC20503",35,"F",0
"SSC20503",36,"M",0
"SSC20503",36,"F",0
"SSC20503",37,"M",0
"SSC20503",37,"F",0
"SSC20503",38,"M",0
"SSC20503",38,"F",0
"SSC20503",39,"M",0
