"","Food","Calories","Protein","Fat","Glucose","Fibre"
"356","Margarine spread, polyunsaturated (70% fat), reduced salt (sodium 280 mg/100 g)",2636,1,70.8,0,0
"357","Margarine spread, monounsaturated (80% fat), rice bran oil, unfortified",3003,0.3,81,0,0
"358","Margarine spread, monounsaturated (greater than 65% fat)",2500,0.5,67.3,0,0
"359","Margarine spread, monounsaturated (greater than 65% fat), reduced salt (sodium 360 mg/100 g)",2565,1,68.9,0,0
"360","Margarine spread, monounsaturated, reduced fat (55% fat) & salt (sodium 380 mg/100 g)",1922,1,51.5,0,0
"361","Margarine spread, monounsaturated, reduced fat (less than 65% fat)",2342,0.5,63.1,0,0
"362","Margarine spread, olive oil blend (65% fat), reduced salt (sodium 360mg/100 g)",2407,1,64.6,0,0
"363","Oil, blend of monounsaturated vegetable oils",3700,0,100,0,0
"364","Oil, blend of polyunsaturated vegetable oils",3700,0,100,0,0
"365","Oil, canola",3700,0,100,0,0
"366","Oil, copha",3700,0.2,99.9,0,0
"367","Oil, olive",3695,0,99.9,0,0
"368","Oil, peanut",3700,0,100,0,0
"369","Oil, rice bran",3700,0,100,0,0
"370","Oil, soybean",3700,0,100,0,0
"371","Oil, sunflower",3700,0,100,0,0
"372","Oil, vegetable",3700,0,100,0,0
"373","Dripping, beef",3703,0.2,100,0,0
"374","Fat, solid, vegetable oil based",3702,0.2,100,0,0
"375","Egg, chicken, whole, raw",533,12.6,8.5,0.3,0
"376","Egg, chicken, whole, hard-boiled",574,12.4,9.5,0.2,0
"377","Egg, chicken, whole, poached",556,13.1,8.9,0.3,0
"378","Egg, chicken, whole, fried, no fat added",606,14.3,9.7,0.3,0
"379","Egg, chicken, whole, omega-3 polyunsaturate enriched, raw",557,12.4,9.2,0.3,0
"380","Egg, chicken, whole, omega-3 polyunsaturate enriched, boiled",568,12.7,9.4,0.3,0
"381","Egg, chicken, whole, scrambled, with regular fat cows milk, no fat added",508,10.8,7.7,0.2,0
"382","Egg, chicken, white (albumen), raw",197,11.2,0,0.4,0
"383","Egg, chicken, white (albumen), hard-boiled",204,11.6,0,0.4,0
"384","Egg, chicken, yolk, raw",1311,15.6,28.2,0.2,0
"385","Egg, chicken, yolk, hard-boiled",1450,16.1,31.7,0.2,0
"386","Apple, bonza, unpeeled, raw",244,0.3,0.3,2.8,3.2
"387","Apple, dried",1232,1.3,0.3,14.7,9.1
"388","Apple, fuji, unpeeled, raw",245,0.3,0.3,3.3,2.4
"389","Apple, golden delicious, unpeeled, raw",202,0.3,0,2.4,2.5
"390","Apple, granny-smith, unpeeled, raw",202,0.3,0,2.8,2.3
"391","Apple, jonathon, unpeeled, raw",226,0.3,0,2.9,2.3
"392","Apple, pink lady, unpeeled, raw",243,0.2,0,1.4,3
"393","Apple, red delicious, unpeeled, raw",248,0.3,0,3.5,2.3
"394","Apple, royal gala, unpeeled, raw",222,0.4,0,2.3,2.1
"395","Apple, red skin, unpeeled, raw",240,0.3,0,2,2.7
"396","Apricot, raw",171,0.8,0.1,1.5,2.5
"397","Apricot, dried",886,4.3,0.2,15.6,8.4
"398","Apricot, canned in pear juice",192,0.8,0,2.3,1.8
"399","Apricot, canned in pear juice, drained",196,1,0,2.4,3.1
"400","Apricot, canned in pear juice, juice only",187,0.5,0,2.2,0
"401","Banana, cavendish, peeled, raw",394,1.4,0.3,6.7,2.2
"402","Banana, lady finger or sugar, peeled, raw",474,1.5,0.1,6.7,3.7
"403","Blackberry, raw",211,1.4,0.3,3.6,6.1
"404","Blueberry, raw",194,0.5,0,4.4,3.5
"405","Blueberry, purchased frozen",199,0.5,0,4.5,3.6
"406","Cherry, raw",250,0.8,0.2,6.2,1.5
"407","Cherry, black, canned in syrup",299,0.7,0.1,7.3,0.9
"408","Cherry, black, canned in syrup, drained",310,0.9,0.1,7.3,1.7
"409","Cherry, black, canned in syrup, syrup only",288,0.5,0,7.4,0
"410","Currant, dried",1167,2.8,0.5,31,6
"411","Custard apple, African pride, peeled, raw",326,1.4,0.6,5.6,2.5
"412","Date, dried",1212,2,0.2,32.5,9.7
"413","Fig, dried",1082,3.6,0.7,25.4,14.3
"414","Fig, fresh, unpeeled, raw",195,1.4,0.3,4.2,3.3
"415","Fruit salad, canned in fruit juice",200,0.7,0.1,2.7,1.4
"416","Fruit salad, canned in fruit juice, drained",207,0.8,0.2,2.6,2.3
"417","Fruit salad, canned in fruit juice, juice only",191,0.4,0,2.8,0.2
"418","Grape, black muscatel/muscat, raw",349,1.1,0.1,9.3,2.7
"419","Grape, black sultana, raw",278,1.2,0.1,6.7,3.3
"420","Grape, cornichon, raw",257,1.3,0.1,6.7,2.5
"421","Grape, red globe, raw",322,0.9,0.2,7.1,3.5
"422","Grape, thompson seedless or sultana, raw",276,0.6,0.1,7.4,2.3
"423","Grape, waltham cross, raw",281,0.8,0.1,7.3,3.5
"424","Grapefruit, peeled, raw",125,0.9,0.2,1.6,1.7
"425","Guava, Hawaiian, raw",144,0.7,0.5,1.1,5.4
"426","Jackfruit, peeled, raw",347,2.2,0.3,4.3,3
"427","Kiwifruit, green (hayward), peeled, raw",230,1.2,0.7,4.1,3
"428","Kiwifruit, gold, peeled, raw",244,1.2,0.5,5.2,1.8
"429","Lemon, peeled, raw",115,0.6,0.2,0.8,2.5
"430","Lime, peeled, raw",122,0.8,0.2,0.5,4.1
"431","Loquat, peeled, raw",122,1,0.2,2.2,1.7
"432","Lychee, peeled, raw",296,1.1,0.1,7.9,1.3
"433","Mandarin, peeled, raw",195,0.9,0,2.2,1.6
"434","Mandarin, canned in syrup",241,0.4,0.1,4.5,0.6
"435","Mandarin, canned in syrup, drained",254,0.5,0.2,4.6,1.1
"436","Mandarin, canned in syrup, syrup only",223,0.2,0,4.4,0
"437","Mango, peeled, raw",237,0.4,0,0.6,1.3
"438","Mango, pulped, canned",259,0.4,0,0.6,1.2
"439","Melon, honey dew, white skin, peeled, raw",149,0.7,0.3,1.3,1
"440","Melon, honey dew, yellow skin, peeled, raw",107,0.8,0.3,1.5,0.9
"441","Melon, rockmelon, peeled, raw",99,0.5,0.1,1.3,1
"442","Melon, watermelon, peeled, raw",133,0.6,0,1.2,0.4
"443","Mulberry, raw",139,2.2,0.2,2,2.2
"444","Nectarine, yellow, unpeeled, raw",181,1.2,0.1,1.4,2
"445","Orange, peeled, raw",175,1,0,1.9,2.4
"446","Orange, navel, peeled, raw",174,1,0,1.9,2.4
"447","Orange, valencia, peeled, raw",175,1,0,1.9,2.4
"448","Passionfruit, raw",304,3,0.3,2.3,13.9
"449","Passionfruit, pulp, canned",424,1.5,0.2,1.2,7
"450","Pawpaw (papaya), peeled, raw",142,0.4,0.1,3.6,2.3
"451","Peach, yellow, unpeeled, raw",168,0.8,0.1,1.2,1.9
"452","Peach, canned in pear juice",184,0.6,0,1.8,1.3
"453","Peach, canned in pear juice, drained",191,0.8,0.1,1.7,2
"454","Peach, canned in pear juice, juice only",174,0.4,0,2,0.3
"455","Pear, Packham's triumph, unpeeled, raw",231,0.4,0,5.7,3
"456","Pear, William Bartlett, unpeeled, raw",228,0.3,0,1.4,3.7
"457","Pear, green skin, unpeeled, raw",278,0.4,0,5.7,3
"458","Pear, brown skin, unpeeled, raw",264,0.3,0,1.7,3.4
"459","Pear, canned in pear juice",194,0.5,0,1.6,1.7
"460","Pear, canned in pear juice, drained",200,0.6,0,1.6,2.8
"461","Pear, canned in pear juice, juice only",185,0.2,0,1.6,0.2
"462","Pear, nashi, unpeeled, raw",209,0.4,0.1,4.4,2.1
"463","Persimmon, peeled, raw",298,0.6,0.2,7.8,2.6
"464","Pineapple (cayenne), peeled, raw",178,0.6,0.2,1.3,1.8
"465","Pineapple, canned in pineapple juice",236,0.5,0.6,4.1,0.8
"466","Pineapple, canned in pineapple juice, drained",206,0.5,0.1,3,1.9
"467","Pineapple, canned in pineapple juice, juice only",187,0.3,0,2.9,0
"468","Pineapple, canned in syrup",360,0.3,0.6,8.6,0.7
"469","Pineapple, canned in syrup, drained",345,0.2,0.3,7.1,1.4
"470","Pineapple, canned in syrup, syrup only",370,0.3,0,4.9,0
"471","Plum, unpeeled, raw",162,0.6,0.1,2.1,2
"472","Plum, dark, canned in syrup",370,0.3,0.1,9.7,1
"473","Plum, dark, canned in syrup, drained",385,0.4,0.1,9.7,2
"474","Plum, dark, canned in syrup, syrup only",354,0.2,0,9.8,0
"475","Pomegranate, peeled, raw",329,1.9,0.2,7.8,6.4
"476","Prickly pear, peeled, raw",204,0.4,0.3,4.7,4.6
"477","Prune (dried plum)",841,2.3,0.4,19.1,7.8
"478","Quandong, fruit, flesh",206,2.5,0,2.3,4.2
"479","Quince, peeled, raw",242,0.5,0.2,4.1,5.2
"480","Rambutan, raw",312,1,0.4,2.8,2.8
"481","Raspberry, raw",203,1.1,0.2,2.9,5.6
"482","Raspberry, purchased frozen",203,1.1,0.2,2.9,5.6
"483","Raspberry, canned in syrup",315,0.6,0.1,7.7,2.5
"484","Raspberry, canned in syrup, drained",343,1,0.2,7.3,6
"485","Raspberry, canned in syrup, syrup only",296,0.2,0,8,0
"486","Rhubarb, stalk, raw",94,1.5,0.2,0.9,2.2
"487","Strawberry, raw",109,0.7,0.2,1.8,2.5
"488","Strawberry, purchased frozen",109,0.7,0.2,1.8,2.5
"489","Strawberry, canned in syrup",335,0.5,0.2,8.6,1.5
"490","Strawberry, canned in syrup, drained",353,0.9,0.1,8.5,3.5
"491","Strawberry, canned in syrup, syrup only",321,0.1,0.2,8.7,0
"492","Sultana",1068,2.6,0.3,28,3.3
"493","Tamarillo, peeled, raw",150,2,0.1,0.8,4.7
"494","Tangelo, peeled, raw",172,0.6,0.1,1.7,2
"495","Tangerine or tangor, peeled, raw",180,1,0.2,1.5,1.5
"496","Wax jambu, raw",109,0.7,0.2,2.1,1.9
"497","Lime, native, fruit",137,0.1,2.7,0,3.6
"498","Plum, davidson (native), flesh",280,1,0.2,1.3,2
"499","Plum, salted",857,3.7,0,16,9.3
"500","Baked beans, canned in tomato sauce",334,4.9,0.3,1.2,4.8
"501","Baked beans, canned in tomato sauce, reduced salt",354,4.9,0.3,1.2,4.8
"502","Bean, haricot, dried",1220,21.9,2.2,0,18.5
"503","Bean, haricot, dried, boiled, drained",464,8.2,0.7,0.6,8.8
"504","Bean, lima, dried",1299,21.4,1.7,0,17.7
"505","Bean, lima, dried, boiled, drained",355,6.4,0.3,0,5.3
"506","Bean, red kidney, dried",1251,22.5,1.8,0,21.5
"507","Bean, red kidney, dried, boiled, drained",382,7.9,0.5,0,7.2
"508","Bean, red kidney, fresh, raw",561,12.8,0.4,0.3,9.1
"509","Bean, red kidney, fresh, boiled, drained",604,13.8,0.4,0.3,9.8
"510","Bean, red kidney, canned, drained",441,6.6,0.6,0.4,6.5
"511","Chickpea, dried",1373,19.7,5.5,0,20.8
"512","Chickpea, desi, dried, boiled, drained",499,7.2,2,0,7.6
"513","Chickpea, canned, drained",474,6.3,2.1,0,5.7
"514","Pea, split, dried",1427,23,2,0,10.1
"515","Beef, all cuts, separable fat, raw",2478,12.1,61.4,0,0
"516","Beef, all cuts, separable fat, cooked, no added fat",2317,15.3,55.6,0,0
"517","Beef, casserole meat, boneless or bone-in, shin, lean, raw",394,21.9,0.6,0,0
"518","Beef, casserole meat, boneless or bone-in, shin, lean, casseroled, no added fat",682,33.8,2.8,0,0.5
"519","Beef, casserole meat, boneless or bone-in, shin, semi-trimmed, raw",457,21.6,2.4,0,0
"520","Beef, casserole meat, boneless or bone-in, shin, semi-trimmed, casseroled, no added fat",764,32.9,5.4,0,0.5
"521","Beef, casserole meat, boneless or bone-in, shin, untrimmed, casseroled, no added fat",960,30.7,11.8,0,0.4
"522","Beef, casserole meat, boneless or bone-in, shin, untrimmed, raw",519,21.3,4.2,0,0
"523","Beef, boneless dice or strips, lean, raw",555,27.6,2.4,0,0
"524","Beef, boneless dice or strips, lean, stir-fried, no added fat",648,31.5,3,0,0
"525","Beef, boneless dice or strips, lean, casseroled, no added fat",745,37,3.1,0,0
"526","Beef, boneless dice or strips, untrimmed, raw",587,27.3,3.3,0,0
"527","Beef, boneless dice or strips, untrimmed, stir-fried, no added fat",667,31.3,3.7,0,0
"528","Beef, boneless dice or strips, untrimmed, casseroled, no added fat",763,36.7,3.7,0,0
"529","Beef, steak, boneless or bone-in, blade, lean, raw",474,22.2,2.6,0,0
"530","Beef, steak, boneless or bone-in, blade, lean, grilled, no added fat",650,31.9,2.9,0,0
"531","Beef, casserole meat, boneless or bone-in, blade, lean, casseroled",653,30.6,3.6,0,0
"532","Beef, steak, boneless or bone-in, blade, semi-trimmed, raw",598,21.6,6.2,0,0
"533","Beef, steak, boneless or bone-in, blade, semi-trimmed, grilled, no added fat",740,31,5.8,0,0
"534","Beef, casserole meat, boneless, blade, semi-trimmed, casseroled",744,29.8,6.4,0,0
"535","Beef, steak, boneless or bone-in, blade, untrimmed, raw",707,21,9.5,0,0
"536","Beef, steak, with bone, blade, untrimmed, grilled, no added fat",791,30.5,7.4,0,0
"537","Beef, casserole meat, boneless, blade, untrimmed, casseroled",795,29.3,8,0,0
"538","Beef, casserole meat, boneless, blade or chuck, lean, raw",495,22.6,3,0,0
"539","Beef, casserole meat, boneless, blade or chuck, lean, casseroled, no added fat",803,31.8,7.1,0,0
"540","Beef, casserole meat, boneless, blade or chuck, semi-trimmed, raw",646,21.8,7.4,0,0
"541","Beef, casserole meat, boneless, blade or chuck, semi-trimmed, casseroled",903,30.7,10.3,0,0
"542","Beef, casserole meat, boneless, blade or chuck, untrimmed, raw",731,21.3,10,0,0
"543","Beef, casserole meat, boneless, blade or chuck, untrimmed, casseroled, no added fat",942,30.3,11.5,0,0
"544","Beef, casserole meat, boneless, chuck, lean, raw",517,23,3.4,0,0
"545","Beef, casserole meat, boneless, chuck, lean, casseroled, no added fat",953,33,10.6,0,0
"546","Beef, casserole meat, boneless, chuck, semi-trimmed, raw",693,22,8.6,0,0
"547","Beef, casserole meat, boneless, chuck, semi-trimmed, casseroled",1062,31.6,14.2,0,0
"548","Beef, casserole meat, boneless, chuck, untrimmed, raw",755,21.7,10.5,0,0
"549","Beef, casserole meat, boneless, chuck, untrimmed, casseroled, no added fat",1089,31.2,15.1,0,0
"550","Beef, diced, lean, raw",574,27.9,2.7,0,0
"551","Beef, diced, lean, dry-fried, no added fat",653,32.1,2.9,0,0
"552","Beef, diced, lean, casseroled, no added fat",751,36.5,3.5,0,0
"553","Beef, diced, untrimmed, raw",614,27.6,3.9,0,0
"554","Beef, diced, untrimmed, dry-fried, no added fat",678,31.8,3.7,0,0
"555","Beef, diced, untrimmed, casseroled, no added fat",774,36.2,4.3,0,0
"556","Beef, steak, boneless, fillet or tenderloin, lean, raw",570,22.2,5.2,0,0
"557","Beef, steak, boneless, fillet or tenderloin, lean, grilled, no added fat",746,31.9,5.5,0,0
"558","Beef, steak, boneless, fillet or tenderloin, semi-trimmed, raw",665,21.7,8,0,0
"559","Beef, steak, boneless, fillet or tenderloin, semi-trimmed, grilled, no added fat",783,31.5,6.7,0,0
"560","Beef, steak, boneless, fillet or tenderloin, untrimmed, raw",710,21.5,9.3,0,0
"561","Beef, steak, boneless, fillet or tenderloin, untrimmed, grilled, no added fat",849,30.8,8.8,0,0
"562","Beef, roasting piece, silverside or topside, lean, raw",526,23,3.6,0,0
"563","Beef, roasting piece, silverside or topside, lean, roasted, no added fat",662,29.8,4.2,0,0
"564","Beef, roasting piece, silverside or topside, semi-trimmed, raw",563,22.8,4.7,0,0
"565","Beef, roasting piece, silverside or topside, semi-trimmed, roasted, no added fat",711,29.4,5.7,0,0
"566","Beef, roasting piece, silverside or topside, untrimmed, raw",696,22.1,8.7,0,0
"567","Beef, roasting piece, silverside or topside, untrimmed, roasted, no added fat",795,28.6,8.3,0,0
"568","Beef, steak, boneless, round, lean, raw",420,21,1.7,0,0
"569","Beef, steak, boneless, round, lean, grilled, no added fat",615,31.8,2,0,0
"570","Beef, steak, boneless, round, semi-trimmed, raw",525,20.5,4.7,0,0
"571","Beef, steak, boneless, round, semi-trimmed, grilled, no added fat",656,31.4,3.3,0,0
"572","Beef, steak, boneless, round, untrimmed, raw",568,20.4,6,0,0
"573","Beef, steak, boneless, round, untrimmed, grilled, no added fat",697,31,4.6,0,0
"574","Beef, rump steak, lean, raw",450,20.4,2.8,0,0
"575","Beef, rump steak, lean, grilled, no added fat",710,32,4.5,0,0
"576","Beef, rump steak, semi-trimmed, raw",546,20,5.6,0,0
"577","Beef, rump steak, semi-trimmed, grilled, no added fat",804,31,7.5,0,0
"578","Beef, rump steak, untrimmed, raw",815,18.9,13.3,0,0
"579","Beef, rump steak, untrimmed, grilled, no added fat",910,29.9,10.9,0,0
"580","Beef, steak, boneless, scotch fillet, lean, raw",508,23.8,2.8,0,0
"581","Beef, steak, boneless, scotch fillet, lean, grilled, no added fat",707,31.9,4.5,0,0
"582","Beef, steak, boneless rump or sirloin, lean, raw",465,22.2,2.4,0,0
"583","Beef, steak, boneless rump or sirloin, lean, grilled, no added fat",684,31.2,4.1,0,0
"584","Beef, steak, boneless rump or sirloin, semi-trimmed, raw",573,21.7,5.5,0,0
"585","Beef, steak, boneless rump or sirloin, semi-trimmed, grilled, no added fat",775,30.4,7,0,0
"586","Beef, steak, boneless rump or sirloin, untrimmed, raw",872,20.2,14.3,0,0
"587","Beef, steak, boneless rump or sirloin, untrimmed, grilled, no added fat",959,28.6,12.8,0,0
"588","Beef, steak, boneless, scotch fillet, semi-trimmed, raw",751,22.4,10,0,0
"589","Beef, steak, boneless, scotch fillet, semi-trimmed, grilled, no added fat",863,30.3,9.4,0,0
"590","Beef, steak, boneless, scotch fillet, untrimmed, raw",883,21.6,13.9,0,0
"591","Beef, steak, boneless, scotch fillet, untrimmed, grilled, no added fat",953,29.4,12.3,0,0
"592","Beef, silverside roast, lean, raw",495,24.1,2.3,0,0
"593","Beef, silverside roast, lean, roasted, no added fat",664,26.9,5.6,0,0
"594","Beef, silverside roast, semi-trimmed, raw",568,23.7,4.5,0,0
"595","Beef, silverside roast, semi-trimmed, roasted, no added fat",704,26.6,6.8,0,0
"596","Beef, silverside roast, untrimmed, raw",711,22.8,8.7,0,0
"597","Beef, silverside roast, untrimmed, roasted, no added fat",797,26,9.6,0,0
"598","Beef, sirloin steak, lean, raw",480,24.1,1.9,0,0
"599","Beef, sirloin steak, lean, grilled, no added fat",659,30.5,3.8,0,0
"600","Beef, sirloin steak, semi-trimmed, raw",599,23.4,5.5,0,0
"601","Beef, sirloin steak, semi-trimmed, grilled, no added fat",746,29.7,6.5,0,0
"602","Beef, sirloin steak, untrimmed, raw",930,21.4,15.3,0,0
"603","Beef, sirloin steak, untrimmed, grilled, no added fat",1007,27.3,14.7,0,0
"604","Beef, stir-fry strips, lean, raw",536,27.2,2,0,0
"605","Beef, stir-fry strips, lean, dry-fried, no added fat",644,30.9,3.2,0,0
"606","Beef, strips, lean, casseroled, no added fat",740,37.5,2.8,0,0
"607","Beef, stir-fry strips, untrimmed, raw",559,27,2.7,0,0
"608","Beef, stir-fry strips, untrimmed, dry-fried, no added fat",657,30.8,3.6,0,0
"609","Beef, strips, untrimmed, casseroled, no added fat",752,37.3,3.2,0,0
"610","Beef, steak, with bone, T-bone or blade, lean, raw",480,23.3,2.3,0,0
"611","Beef, steak, with bone, T-bone or blade, lean, grilled, no added fat",643,30.6,3.4,0,0
"612","Beef, steak, with bone, T-bone or blade, semi-trimmed, raw",668,22.2,7.9,0,0
"613","Beef, steak, with bone, T-bone or blade, semi-trimmed, grilled, no added fat",789,29.3,7.9,0,0
"614","Beef, steak, with bone, T-bone or blade, untrimmed, raw",848,21.2,13.2,0,0
"615","Beef, steak, with bone, T-bone or blade, untrimmed, grilled, no added fat",888,28.4,10.9,0,0
"616","Beef, steak, with bone, T-bone, lean, raw",487,24.4,2,0,0
"617","Beef, steak, with bone, T-bone, lean, grilled, no added fat",637,29.2,3.8,0,0
"618","Beef, steak, with bone, T-bone, semi-trimmed, raw",738,22.8,9.5,0,0
"619","Beef, steak, with bone, T-bone, semi-trimmed, grilled, no added fat",837,27.5,10,0,0
"620","Beef, steak, with bone, T-bone, untrimmed, raw",988,21.3,16.9,0,0
"621","Beef, steak, with bone, T-bone, untrimmed, grilled, no added fat",984,26.3,14.5,0,0
"622","Beef, topside roast, lean, raw",490,22.3,3,0,0
"623","Beef, topside roast, lean, roasted, no added fat",660,32.7,2.8,0,0
"624","Beef, topside roast, semi-trimmed, raw",558,22,5,0,0
"625","Beef, topside roast, semi-trimmed, roasted, no added fat",719,32.1,4.7,0,0
"626","Beef, topside roast, untrimmed, raw",681,21.3,8.6,0,0
"627","Beef, topside roast, untrimmed, roasted, no added fat",793,31.3,7.1,0,0
"628","Veal, all cuts, separable fat, raw",1403,19.4,29,0,0
"629","Veal, all cuts, separable fat, cooked",1573,20.7,33,0,0
"630","Veal, boneless dice or strips, lean, raw",492,25.2,1.8,0,0
"631","Veal, boneless dice or strips, lean, stir-fried, no added fat",633,31,2.9,0,0
"632","Veal, boneless dice or strips, untrimmed, raw",508,25,2.2,0,0
"633","Veal, boneless dice or strips, untrimmed, stir-fried, no added fat",651,30.7,3.5,0,0
"634","Veal, cutlet, with bone, lean, raw",459,24.6,1.1,0,0
"635","Veal, cutlet, with bone, lean, grilled, no added fat",552,28.1,2,0,0
"636","Veal, cutlet, with bone, semi-trimmed, raw",512,24.3,2.7,0,0
"637","Veal, cutlet, with bone, semi-trimmed, grilled, no added fat",625,27.6,4.2,0,0
"638","Veal, cutlet, with bone, untrimmed, raw",523,24.2,3,0,0
"639","Veal, cutlet, with bone, untrimmed, grilled, no added fat",632,27.5,4.4,0,0
"640","Veal, diced, lean, raw",448,23.1,1.5,0,0
"641","Veal, diced, lean, stir-fried, no added fat",653,31.9,3,0,0
"642","Veal, diced, untrimmed, raw",466,23,2,0,0
"643","Veal, diced, untrimmed, stir-fried, no added fat",679,31.6,3.8,0,0
"644","Veal, steak, boneless, leg, lean, raw",470,24.4,1.5,0,0
"645","Veal, steak, boneless, leg, lean, grilled, no added fat",655,34.4,1.9,0,0
"646","Veal, steak, boneless, leg, untrimmed, raw",482,24.3,1.8,0,0
"647","Veal, steak, boneless, leg, untrimmed, grilled, no added fat",675,34.1,2.6,0,0
"648","Veal, stir-fry strips, lean, raw",536,27.2,2,0,0
"649","Veal, stir-fry strips, lean, stir-fried, no added fat",614,30,2.8,0,0
"650","Veal, stir-fry strips, untrimmed, raw",551,27.1,2.5,0,0
"651","Veal, stir-fry strips, untrimmed, stir-fried, no added fat",623,29.9,3.1,0,0
"652","Lamb, all cuts, separable fat, raw",2315,10.8,57.6,0,0
"653","Lamb, all cuts, separable fat, cooked",2251,16.2,53.4,0,0
"654","Lamb, chop, with bone, loin or chump, lean, raw",606,25.6,4.6,0,0
"655","Lamb, chop, with bone, loin or chump, lean, grilled, no added fat",900,32,9.6,0,0
"656","Lamb, chop, with bone, loin or chump, semi-trimmed, raw",804,23.9,10.8,0,0
"657","Lamb, chop, with bone, loin or chump, semi-trimmed, grilled, no added fat",1042,30.2,14.3,0,0
"658","Lamb, chop, with bone, loin or chump, untrimmed, raw",1129,20.8,20.9,0,0
"659","Lamb, chop, with bone, loin or chump, untrimmed, grilled, no added fat",1202,28.4,19.4,0,0
"660","Lamb, chop, with bone, chump, lean, raw",542,22.5,4.3,0,0
"661","Lamb, chop, with bone, chump, lean, grilled, no added fat",957,34.1,10.2,0,0
"662","Lamb, chop, with bone, chump, semi-trimmed, raw",753,21.1,10.6,0,0
"663","Lamb, chop, with bone, chump, semi-trimmed, grilled, no added fat",1132,31.7,16,0,0
"664","Lamb, chop, with bone, chump, untrimmed, raw",981,19.6,17.5,0,0
"665","Lamb, chop, with bone, chump, untrimmed, grilled, no added fat",1251,30,20,0,0
"666","Lamb, diced, lean, raw",554,21.3,5.2,0,0
"667","Lamb, diced, lean, stir-fried, no added fat",773,31.3,6.5,0,0
"668","Lamb, diced, lean, casseroled, no added fat",776,32.2,6.2,0,0
"669","Lamb, diced, untrimmed, raw",588,21.1,6.2,0,0
"670","Lamb, diced, untrimmed, stir-fried, no added fat",806,31,7.6,0,0
"671","Lamb, diced, untrimmed, casseroled, no added fat",809,31.8,7.2,0,0
"672","Lamb, boneless dice or strips, lean, raw",541,21.6,4.7,0,0
"673","Lamb, boneless dice or strips, lean, stir-fried, no added fat",768,29.7,7.1,0,0
"674","Lamb, boneless dice or strips, lean, casseroled, no added fat",776,32.2,6.2,0,0
"675","Lamb, boneless dice or strips, untrimmed, raw",583,21.3,6,0,0
"676","Lamb, boneless dice or strips, untrimmed, stir-fried, no added fat",793,29.5,7.9,0,0
"677","Lamb, boneless dice or strips, untrimmed, casseroled, no added fat",802,31.9,7,0,0
"678","Lamb, roasting piece, shoulder, lean, raw",468,18.2,4.3,0,0
"679","Lamb, roasting piece, shoulder, lean, roasted, no added fat",703,29.6,5.4,0,0
"680","Lamb, roasting piece, shoulder, semi-trimmed, raw",695,17.3,10.9,0,0
"681","Lamb, roasting piece, shoulder, semi-trimmed, roasted, no added fat",859,28.3,10.2,0,0
"682","Lamb, roasting piece, shoulder, untrimmed, raw",894,16.5,16.6,0,0
"683","Lamb, roasting piece, shoulder, untrimmed, roasted, no added fat",1095,26.2,17.5,0,0
"684","Lamb, chop, with bone, forequarter, lean, raw",559,20.5,5.7,0,0
"685","Lamb, chop, with bone, forequarter, lean, grilled, no added fat",898,28,11.4,0,0
"686","Lamb, chop, with bone, forequarter, semi-trimmed, raw",971,18.2,17.9,0,0
"687","Lamb, chop, with bone, forequarter, semi-trimmed, grilled, no added fat",1108,26.2,17.9,0,0
"688","Lamb, chop, with bone, forequarter, untrimmed, raw",1126,17.4,22.4,0,0
"689","Lamb, chop, with bone, forequarter, grilled, no added fat",1173,25.6,19.9,0,0
"690","Lamb, cutlet or frenched cutlet, with bone, lean, raw",585,20.9,6.2,0,0
"691","Lamb, cutlet or frenched cutlet, with bone, lean, grilled, no added fat",837,30.5,8.6,0,0
"692","Lamb, cutlet or frenched cutlet, with bone, semi-trimmed, raw",890,19.1,15.3,0,0
"693","Lamb, cutlet or frenched cutlet, with bone, semi-trimmed, grilled, no added fat",1107,27.8,17.1,0,0
"694","Lamb, cutlet or frenched cutlet, with bone, untrimmed, raw",977,18.6,17.8,0,0
"695","Lamb, cutlet or frenched cutlet, with bone, untrimmed, grilled, no added fat",1163,27.2,18.9,0,0
"696","Lamb, leg roast, lean, raw",477,21.1,3.2,0,0
"697","Lamb, leg roast, lean, roasted, no added fat",742,30.6,6,0,0
"698","Lamb, leg roast, semi-trimmed, raw",604,20.4,7,0,0
"699","Lamb, leg roast, semi-trimmed, roasted, no added fat",840,29.7,9.1,0,0
"700","Lamb, leg roast, untrimmed, raw",786,19.4,12.3,0,0
"701","Lamb, leg roast, untrimmed, roasted, no added fat",959,28.5,12.8,0,0
"702","Lamb, loin chop, lean, raw",671,28.6,5,0,0
"703","Lamb, loin chop, lean, grilled, no added fat",843,29.8,9.1,0,0
"704","Lamb, loin chop, semi-trimmed, raw",856,26.6,10.9,0,0
"705","Lamb, loin chop, semi-trimmed, grilled, no added fat",953,28.7,12.6,0,0
"706","Lamb, loin chop, untrimmed, raw",1276,22.1,24.4,0,0
"707","Lamb, loin chop, untrimmed, grilled, no added fat",1154,26.8,18.9,0,0
"708","Lamb, mince, raw",602,20.4,6.9,0,0
"709","Lamb, mince, stir-fried, no added fat",729,24.4,8.5,0,0
"710","Lamb, mini roast, lean, roasted, no added fat",680,27.8,5.6,0,0
"711","Lamb, mini roast, semi-trimmed, roasted, no added fat",779,27.1,8.6,0,0
"712","Lamb, mini roast, untrimmed, roasted, no added fat",858,26.5,11,0,0
"713","Lamb, roasting piece, leg or mini roast, lean, raw",512,21.5,4,0,0
