"","Food","Calories","Protein","Fat","Glucose","Fibre"
"89","Bread, flat, white, commercial",1102,9.5,2.1,0.2,3.7
"90","Bread, flat (pita or Lebanese), wholemeal, commercial",1074,8.6,2,0.7,6.4
"91","Bread, from white flour",1000,9.6,1.8,0,2.9
"92","Bread, from white flour, toasted",1190,11.4,2.1,0,3.5
"93","Bread, from white flour, added calcium",1000,9.6,1.8,0,2.9
"94","Bread, from white flour, added calcium, toasted",1163,11.1,2.1,0,3.4
"95","Bread, from white flour, added fibre",1027,9.4,1.7,0,6.4
"96","Bread, from white flour, added fibre, toasted",1222,11.2,2,0,7.7
"97","Bread, from white flour, added iron",1000,9.6,1.8,0,2.9
"98","Bread, from white flour, added iron, toasted",1163,11.1,2.1,0,3.4
"99","Bread, from white flour, added omega-3 polyunsaturates",1051,8.9,2.1,0,3.1
"100","Bread, from white flour, added omega-3 polyunsaturates, toasted",1222,10.4,2.5,0,3.6
"101","Bread, from white Jackaroo flour, added fibre and vitamins B1 & folate & Fe",1052,8.3,2.3,0,6.5
"102","Bread, from white Jackaroo flour, added fibre and vitamins B1 & folate & Fe, toasted",1238,9.8,2.7,0,7.6
"103","Bread, from white flour, Italian-style, commercial",1070,9,2.5,0,3.9
"104","Bread, from white flour, Italian-style, commercial, toasted",1274,10.7,3,0,4.6
"105","Bread roll, from white flour",1058,9.4,3,0.4,3
"106","Bread roll, from white flour, toasted",1230,10.9,3.5,0.5,3.5
"107","Bread roll, topped with cheese",1179,12.4,9,0.4,2.4
"108","Bread roll, topped with cheese & bacon",1177,16.6,11.2,0.4,1.8
"109","Bread, from wholemeal flour",971,11.2,2.3,0.1,6.2
"110","Bread, from wholemeal flour, toasted",1142,13.2,2.7,0.1,7.3
"111","Bread roll, from wholemeal flour",1095,10.1,3,0.4,5.8
"112","Bread roll, from wholemeal flour, toasted",1288,11.9,3.5,0.4,6.9
"113","Bread, from white or wholemeal flour, organic",1034,11.6,2.9,0,5.6
"114","Bread, from white or wholemeal flour, organic, toasted",1216,13.7,3.4,0,6.6
"115","Bread, mixed grain",1047,11.2,5,0,5.8
"116","Bread, mixed grain, toasted",1232,13.1,5.9,0,6.9
"117","Bread roll, mixed grain",1027,11.1,3,0,5.6
"118","Bread roll, mixed grain, toasted",1209,13.1,3.5,0,6.6
"119","Bread, from white flour, Turkish",1035,7.8,2.8,0,3.6
"120","Bread, from white flour, Turkish, toasted",1233,9.2,3.3,0,4.3
"121","Bread, from white flour, added dried fruit",1151,8.3,3.9,6.8,2.8
"122","Bread, from wheat flour, added dried fruit, toasted",1279,9.2,4.3,7.6,3.1
"123","Bread, garlic or herb, commercial, cooked",1401,8.4,15.5,0.4,3.2
"124","Bread, garlic or herb, homemade, cooked",1293,8.8,11.4,0.4,3.6
"125","Bread, gluten free",888,5.5,3.9,0.3,3.9
"126","Bread, gluten free, toasted",1057,6.5,4.6,0.4,4.6
"127","Bread, from rye flour, sour dough",980,9.2,1.6,0.4,5.2
"128","Bread, from rye flour, sour dough, toasted",1153,10.8,1.9,0.5,6.1
"129","Crumpet, from white flour, toasted",851,5.1,0.8,0.1,2.5
"130","Muffin, English style, from white flour",938,10.1,2.1,0,3.2
"131","Muffin, English style, from white flour, toasted",1019,11,2.3,0,3.4
"132","Breakfast cereal, beverage, non-chocolate flavours, added vitamins A, B1, B2, B3, B6, B12, C & folate & Ca",320,3.1,1.5,0,0.8
"133","Breakfast cereal, flakes of corn, unfortified",1553,7.3,2.9,0.5,4
"134","Breakfast cereal, flakes of corn, added vitamins B1, B2, B3, C & folate, Fe & Zn",1565,8.6,0.6,0.6,3.2
"135","Breakfast cereal, mixed grain (rice & wheat), flakes, added vitamins B1, B2, B3, B6 & folate, Ca, Fe & Zn",1669,18.2,4.1,0.3,2.7
"136","Breakfast cereal, mixed grain (wheat & oat), flakes, apricot & sultana, added vitamins B1, B2, B3 & folate & Fe",1468,8.8,1.5,10.3,8.2
"137","Breakfast cereal, mixed grain (wheat, oat & corn), extruded, added vitamins B1, B2, B3, B6, C & folate, Ca & Fe",1551,23.3,2.5,0,2.5
"138","Breakfast cereal, mixed grain (wheat, rice & oat), flakes, honey, unfortified",1488,8.4,4.1,1.2,12.5
"139","Breakfast cereal, puffed or popped rice, no added sugar or salt, unfortified",1608,8.5,3,0,2.8
"140","Breakfast cereal, puffed or popped rice, added vitamins B1, B2, B3, C & folate, Fe & Zn",1559,6.8,1.1,0,2.1
"141","Breakfast cereal, puffed or popped rice, cocoa coating, added vitamins B1, B2, B3, C & folate, Ca, Fe & Zn",1610,5,2.9,0.2,2.6
"142","Breakfast cereal, wheat bran, flakes, sultanas, added vitamins B1, B2, B3, B6 & folate, Fe & Zn",1391,9.8,1.5,10.3,14.8
"143","Breakfast cereal, wheat bran, pellets, added vitamins B1, B2 & folate",1316,13.4,4.9,1.2,27.5
"144","Breakfast cereal, whole wheat, biscuit, no added sugar, unfortified",1460,10.4,2.7,0,11.5
"145","Breakfast cereal, whole wheat, biscuit, added vitamins B1, B2, B3 & folate, Fe & Zn",1451,12.1,2.2,0.2,11.1
"146","Breakfast cereal, whole wheat, flakes, dried fruit & nuts, added fibre, vitamins B1, B2, B3 & folate, Ca & Fe",1504,9.8,3.3,9.5,15.5
"147","Breakfast cereal, whole wheat, puffed, no added sugar or salt, unfortified",1414,10,2.8,0,9.2
"148","Muesli, toasted, added dried fruit & nuts, unfortified",1680,8.9,13.3,8.5,11.4
"149","Muesli, untoasted or natural style, added dried fruit, unfortified",1646,10.8,10.8,8.9,9.4
"150","Bread, banana",1224,5.7,11,1.1,1.5
"151","Slice, brownie, chocolate, without nuts, commercial",1735,7.1,23.1,0.4,2.6
"152","Cake mix, plain, dry powder",1603,4.8,8.2,0,1.4
"153","Cake, chocolate, homemade, uniced",1553,7.8,19.2,0.1,2.9
"154","Cake, chocolate, homemade, iced",1552,6.5,17.8,0.1,2.6
"155","Cake, lamington, unfilled",1233,4.7,9.4,0,2.4
"156","Cake, mud, dark chocolate, commercial, chocolate ganache icing",1415,5.1,13.9,0,2.6
"157","Cake, plain butter cake, commercial, uniced",1487,8.2,15.2,0.3,1.3
"158","Cake, plain butter cake, commercial, iced",1555,5,16.1,0,1.4
"159","Cake, plain butter cake, homemade, uniced",1587,6.7,16.1,0,0.9
"160","Cake, sponge, plain, commercial, uniced, unfilled",1370,7.5,8.2,0.4,1.2
"161","Cake, sponge, plain, commercial, uniced, filled with jam & cream",1524,6.7,12.2,3.3,1.2
"162","Doughnut, jam filled, sugar coated",1535,6,17.6,2,1.9
"163","Doughnut, dusted with cinnamon & sugar",1583,6.6,19.5,0,2
"164","Doughnut, iced",1517,6.7,15.9,1.3,1.7
"165","Muffin, cake-style, berry, commercial",1412,5.2,15.7,1.2,1.9
"166","Muffin, cake-style, chocolate chip, commercial",1567,6.4,17.7,0.3,1.4
"167","Pancake, plain, homemade",933,7.5,7.6,0,0.8
"168","Pikelet or pancake, sweet, commercial",912,5.7,4.3,0,2.1
"169","Pikelet, plain, homemade",1160,7.5,5.9,0.1,1.7
"170","Pudding, chocolate, homemade",774,3.6,2.6,0,1.1
"171","Scone, plain, commercial",1399,7.9,8.5,0,2.1
"172","Scone, plain, homemade",1354,8,9.4,0,1.4
"173","Scone, pumpkin, homemade",1222,7.5,7.5,0.4,1.6
"174","Slice, caramel",1847,5.3,24.4,1.6,0.8
"175","Porridge, rolled oats, prepared with regular fat cows milk",525,5.3,4.9,0,1.6
"176","Barley, pearl, uncooked",1428,10.1,3.1,0,13.1
"177","Barley, pearl, boiled, no added fat or salt",592,4.2,1.3,0,5.4
"178","Bulgur, uncooked",1434,10.3,2,0,7.8
